iter	Passed	Remaining
789	911	242
790	912	241
791	914	240
792	915	239
793	917	238
794	918	236
795	920	235
796	921	234
797	922	233
798	923	232
799	925	231
800	926	230
801	926	228
802	927	227
803	928	226
804	929	225
805	930	223
806	931	222
807	932	221
808	933	220
809	934	219
810	934	217
811	935	216
812	936	215
813	936	214
814	937	212
815	938	211
816	939	210
817	940	209
818	940	207
819	941	206
820	942	205
821	943	204
822	944	203
823	945	201
824	946	200
825	947	199
826	947	198
827	948	197
828	949	195
829	950	194
830	950	193
831	951	192
832	952	190
833	952	189
834	953	188
835	954	187
836	955	186
837	955	184
838	956	183
839	957	182
840	957	181
841	958	179
842	959	178
843	959	177
844	960	176
845	961	175
846	963	174
847	964	172
848	965	171
849	966	170
850	966	169
851	967	168
852	968	166
853	969	165
854	969	164
855	970	163
856	971	162
857	972	160
858	973	159
859	973	158
860	976	157
861	977	156
862	978	155
863	979	154
864	980	152
865	980	151
866	981	150
867	982	149
868	983	148
869	983	147
870	984	145
871	985	144
872	986	143
873	986	142
874	989	141
875	990	140
876	990	138
877	991	137
878	992	136
879	993	135
880	993	134
881	994	133
882	995	131
883	995	130
884	996	129
885	997	128
886	998	127
887	999	126
888	999	124
889	1000	123
890	1001	122
891	1002	121
892	1003	120
893	1004	119
894	1005	117
895	1006	116
896	1007	115
897	1008	114
898	1008	113
899	1009	112
900	1010	111
901	1012	109
902	1013	108
903	1014	107
904	1014	106
905	1015	105
906	1015	104
907	1016	103
908	1017	101
909	1018	100
910	1019	99
911	1020	98
912	1021	97
913	1021	96
914	1022	94
915	1023	93
916	1023	92
917	1024	91
918	1025	90
919	1026	89
920	1027	88
921	1028	86
922	1028	85
923	1029	84
924	1030	83
925	1030	82
926	1031	81
927	1033	80
928	1033	79
929	1034	77
930	1035	76
931	1036	75
932	1036	74
933	1037	73
934	1038	72
935	1039	71
936	1040	69
937	1041	68
938	1041	67
939	1042	66
940	1043	65
941	1044	64
942	1045	63
943	1046	62
944	1047	60
945	1048	59
946	1049	58
947	1051	57
948	1051	56
949	1052	55
950	1053	54
951	1054	53
952	1055	52
953	1056	50
954	1058	49
955	1059	48
956	1059	47
957	1060	46
958	1060	45
959	1061	44
960	1062	43
961	1063	42
962	1064	40
963	1064	39
964	1065	38
965	1065	37
966	1066	36
967	1067	35
968	1068	34
969	1070	33
970	1071	31
971	1071	30
972	1072	29
973	1073	28
974	1073	27
975	1074	26
976	1075	25
977	1076	24
978	1077	23
979	1078	22
980	1079	20
981	1080	19
982	1081	18
983	1081	17
984	1083	16
985	1084	15
986	1085	14
987	1085	13
988	1086	12
989	1087	10
990	1088	9
991	1089	8
992	1089	7
993	1090	6
994	1091	5
995	1091	4
996	1092	3
997	1093	2
998	1093	1
999	1094	0
